category,keyword,severity,description,example
OLD_LOCAL,/tmp/,CRITICAL,"tmp directory","/tmp/secret"
OLD_LOCAL,config.ini,CRITICAL,"Config file","config.ini password="
OLD_LOCAL,settings.cfg,CRITICAL,"Settings file","settings.cfg pass="
OLD_LOCAL,conf.xml,CRITICAL,"XML config","conf.xml password"
OLD_LOCAL,config.xml,CRITICAL,"XML config","config.xml credential"
OLD_LOCAL,.htaccess,CRITICAL,"Apache config",".htaccess auth"
OLD_LOCAL,htpasswd,CRITICAL,"Apache passwords",".htpasswd"
OLD_LOCAL,web.config,CRITICAL,"Web config","web.config connectionString"
OLD_LOCAL,app.config,CRITICAL,"App config","app.config connection"
OLD_TOKENS,session,CRITICAL,"Session token","session=abc123"
OLD_TOKENS,cookie,CRITICAL,"Cookie value","cookie=secret"
OLD_TOKENS,auth,CRITICAL,"Authentication","auth_token"
OLD_TOKENS,authentication,CRITICAL,"Authentication","authentication=basic"
OLD_TOKENS,authorization,CRITICAL,"Authorization","authorization: Bearer"
OLD_TOKENS,key,CRITICAL,"Encryption key","key=secret123"
OLD_TOKENS,secret,CRITICAL,"Secret key","secret=abc123"
OLD_TOKENS,token,CRITICAL,"Access token","token=eyJhbGciOi"
OLD_TOKENS,access_token,CRITICAL,"Access token","access_token=12345"
OLD_TOKENS,bearer,CRITICAL,"Bearer token","Bearer abc123"
OLD_APIS,soap,CRITICAL,"SOAP API","soap_password"
OLD_APIS,xmlrpc,CRITICAL,"XML-RPC","xmlrpc_pass"
OLD_APIS,rpc,CRITICAL,"RPC protocol","rpc_password"
OLD_APIS,corba,CRITICAL,"CORBA","corba_pass"
OLD_APIS,dcom,CRITICAL,"DCOM","dcom_password"
OLD_APIS,webservice,CRITICAL,"Web service","webservice_key"
OLD_APIS,web_service,CRITICAL,"Web service","web_service_secret"
OLD_APIS,api_endpoint,CRITICAL,"API endpoint","api_endpoint=secret"
OLD_EMAIL,email,CRITICAL,"Email address","email=user@example.com"
OLD_EMAIL,mail,CRITICAL,"Mail","mail_password"
OLD_EMAIL,e-mail,CRITICAL,"E-mail","e-mail=secret"
OLD_EMAIL,kontakt,CRITICAL,"German contact","kontakt_daten"
OLD_EMAIL,address,CRITICAL,"Address","address=123 Street"
OLD_EMAIL,adresse,CRITICAL,"German address","adresse=Hauptstr.1"
OLD_EMAIL,imap,CRITICAL,"IMAP password","imap_pass"
OLD_EMAIL,pop3,CRITICAL,"POP3 password","pop3_password"
OLD_EMAIL,smtp,CRITICAL,"SMTP password","smtp_pass"
OLD_EMAIL,exchange,CRITICAL,"Exchange server","exchange_password"
OLD_EMAIL,outlook,CRITICAL,"Outlook","outlook_pwd"
OLD_PHONE,telefon,CRITICAL,"German telephone","telefon_nummer"
OLD_PHONE,phone,CRITICAL,"Phone number","phone=+123456789"
OLD_PHONE,handy,CRITICAL,"German mobile","handy_nummer"
OLD_PHONE,mobil,CRITICAL,"German mobile","mobilnummer"
OLD_PHONE,fax,CRITICAL,"Fax number","fax=12345"
OLD_PHONE,telefax,CRITICAL,"German fax","telefax_nummer"
NEW_CLOUD_AWS,aws_access_key,CRITICAL,"AWS Access Key","AKIAIOSFODNN7EXAMPLE"
NEW_CLOUD_AWS,aws_secret_key,CRITICAL,"AWS Secret Key","wJalrXUtnFEMI/K7MDENG/bPxRfiCYEXAMPLEKEY"
NEW_CLOUD_AWS,aws_session_token,CRITICAL,"AWS Session Token","AQoEXAMPLEH4aoAH0gNCAPy..."
NEW_CLOUD_AWS,aws_secret_access_key,CRITICAL,"AWS Secret Access Key","wJalrXUtnFEMI/K7MDENG/bPxRfiCYEXAMPLEKEY"
NEW_CLOUD_AWS,aws_account_id,CRITICAL,"AWS Account ID","123456789012"
NEW_CLOUD_AWS,aws_role_arn,CRITICAL,"AWS Role ARN","arn:aws:iam::123456789012:role/Admin"
NEW_CLOUD_AWS,aws_profile,CRITICAL,"AWS Profile","[profile admin]"
NEW_CLOUD_AWS,aws_cli,CRITICAL,"AWS CLI","aws configure"
NEW_CLOUD_AWS,aws_s3_bucket,CRITICAL,"AWS S3 Bucket","s3://my-bucket"
NEW_CLOUD_AWS,aws_s3_key,CRITICAL,"AWS S3 Key","s3_key=secret"
NEW_CLOUD_AWS,aws_s3_secret,CRITICAL,"AWS S3 Secret","s3_secret=abc"
NEW_CLOUD_AWS,aws_cloudfront_key,CRITICAL,"AWS CloudFront Key","cloudfront_key"
NEW_CLOUD_AWS,aws_ec2_key_pair,CRITICAL,"AWS EC2 Key Pair","ec2_key.pem"
NEW_CLOUD_AWS,aws_ec2_private_key,CRITICAL,"AWS EC2 Private Key","-----BEGIN RSA PRIVATE KEY-----"
NEW_CLOUD_AWS,aws_cloudformation,CRITICAL,"AWS CloudFormation","cloudformation_template"
NEW_CLOUD_AWS,aws_lambda_key,CRITICAL,"AWS Lambda Key","lambda_function_key"
NEW_CLOUD_AWS,aws_api_gateway_key,CRITICAL,"AWS API Gateway Key","api_gateway_key"
NEW_CLOUD_AWS,aws_cognito_secret,CRITICAL,"AWS Cognito Secret","cognito_client_secret"
NEW_CLOUD_AWS,aws_elasticsearch_key,CRITICAL,"AWS Elasticsearch","elasticsearch_password"
NEW_CLOUD_AWS,aws_rds_password,CRITICAL,"AWS RDS Password","rds_master_password"
NEW_CLOUD_AWS,aws_redshift_password,CRITICAL,"AWS Redshift Password","redshift_admin_password"
NEW_CLOUD_AZURE,azure_client_id,CRITICAL,"Azure Client ID","client_id=12345"
NEW_CLOUD_AZURE,azure_client_secret,CRITICAL,"Azure Client Secret","client_secret=abc123"
NEW_CLOUD_AZURE,azure_tenant_id,CRITICAL,"Azure Tenant ID","tenant_id=12345"
NEW_CLOUD_AZURE,azure_subscription_id,CRITICAL,"Azure Subscription ID","subscription_id=12345"
NEW_CLOUD_AZURE,azure_key_vault,CRITICAL,"Azure Key Vault","key_vault_secret"
NEW_CLOUD_AZURE,azure_storage_key,CRITICAL,"Azure Storage Key","storage_account_key"
NEW_CLOUD_AZURE,azure_blob_key,CRITICAL,"Azure Blob Storage Key","blob_storage_key"
NEW_CLOUD_AZURE,azure_table_key,CRITICAL,"Azure Table Key","table_storage_key"
NEW_CLOUD_AZURE,azure_cosmosdb_key,CRITICAL,"Azure Cosmos DB Key","cosmosdb_primary_key"
NEW_CLOUD_AZURE,azure_sql_password,CRITICAL,"Azure SQL Password","sql_server_password"
NEW_CLOUD_AZURE,azure_ad_secret,CRITICAL,"Azure AD Secret","azure_ad_client_secret"
NEW_CLOUD_AZURE,azure_devops_pat,CRITICAL,"Azure DevOps PAT","azdev_pat_token"
NEW_CLOUD_AZURE,azure_container_registry_password,CRITICAL,"Azure Container Registry","acr_password"
NEW_CLOUD_AZURE,azure_service_bus_key,CRITICAL,"Azure Service Bus","service_bus_key"
NEW_CLOUD_AZURE,azure_event_hubs_key,CRITICAL,"Azure Event Hubs","event_hubs_connection_string"
NEW_CLOUD_GCP,google_api_key,CRITICAL,"Google API Key","AIzaSyBExampleKey12345"
NEW_CLOUD_GCP,google_cloud_key,CRITICAL,"Google Cloud Key","gcp_service_account_key.json"
NEW_CLOUD_GCP,gcp_service_account,CRITICAL,"GCP Service Account","service_account.json"
NEW_CLOUD_GCP,gcp_credentials_json,CRITICAL,"GCP Credentials JSON","credentials.json"
NEW_CLOUD_GCP,gcp_project_id,CRITICAL,"GCP Project ID","project_id=my-project"
NEW_CLOUD_GCP,gcp_bucket_name,CRITICAL,"GCP Bucket Name","gs://my-bucket"
NEW_CLOUD_GCP,google_maps_key,CRITICAL,"Google Maps Key","google_maps_api_key"
NEW_CLOUD_GCP,google_analytics_key,CRITICAL,"Google Analytics","analytics_tracking_id"
NEW_CLOUD_GCP,google_ads_key,CRITICAL,"Google Ads","google_ads_api_key"
NEW_CLOUD_GCP,firebase_key,CRITICAL,"Firebase Key","firebase_config"
NEW_CLOUD_GCP,firebase_database_url,CRITICAL,"Firebase Database URL","https://myapp.firebaseio.com"
NEW_CLOUD_GCP,firebase_storage_bucket,CRITICAL,"Firebase Storage","myapp.appspot.com"
NEW_CLOUD_GCP,firebase_cloud_messaging,CRITICAL,"Firebase Cloud Messaging","fcm_server_key"
NEW_CLOUD_GCP,firebase_auth_domain,CRITICAL,"Firebase Auth Domain","myapp.firebaseapp.com"
NEW_CLOUD_OTHER,digitalocean_token,CRITICAL,"DigitalOcean Token","dop_v1_token123"
NEW_CLOUD_OTHER,do_space_key,CRITICAL,"DO Spaces Key","spaces_access_key"
NEW_CLOUD_OTHER,do_database_password,CRITICAL,"DO Database","do_db_password"
NEW_CLOUD_OTHER,heroku_api_key,CRITICAL,"Heroku API Key","heroku_api_key"
NEW_CLOUD_OTHER,heroku_token,CRITICAL,"Heroku Token","heroku_auth_token"
NEW_CLOUD_OTHER,heroku_app_name,CRITICAL,"Heroku App","heroku_app=myapp"
NEW_CLOUD_OTHER,linode_token,CRITICAL,"Linode Token","linode_api_token"
NEW_CLOUD_OTHER,vultr_api_key,CRITICAL,"Vultr API Key","vultr_api_key"
NEW_CLOUD_OTHER,ovh_api_secret,CRITICAL,"OVH Secret","ovh_application_secret"
NEW_CLOUD_OTHER,oracle_cloud_token,CRITICAL,"Oracle Cloud","oci_config"
NEW_CLOUD_OTHER,ibm_cloud_key,CRITICAL,"IBM Cloud","ibmcloud_api_key"
NEW_CLOUD_OTHER,alibaba_cloud_key,CRITICAL,"Alibaba Cloud","aliyun_access_key"
NEW_CLOUD_OTHER,salesforce_client_secret,CRITICAL,"Salesforce Secret","salesforce_client_secret"
NEW_CLOUD_OTHER,dynamics365_key,CRITICAL,"Dynamics 365","dynamics365_key"
NEW_CICD_GITHUB,github_token,CRITICAL,"GitHub Token","ghp_ExampleToken12345"
NEW_CICD_GITHUB,github_pat,CRITICAL,"GitHub PAT","github_personal_access_token"
NEW_CICD_GITHUB,github_oauth,CRITICAL,"GitHub OAuth","github_oauth_token"
NEW_CICD_GITHUB,github_app_key,CRITICAL,"GitHub App","github_app_private_key"
NEW_CICD_GITLAB,gitlab_token,CRITICAL,"GitLab Token","glpat-ExampleToken123"
NEW_CICD_GITLAB,gitlab_ci_token,CRITICAL,"GitLab CI","gitlab_ci_token"
NEW_CICD_GITLAB,gitlab_runners_token,CRITICAL,"GitLab Runners","gitlab_runners_token"
NEW_CICD_BITBUCKET,bitbucket_token,CRITICAL,"Bitbucket Token","bitbucket_app_password"
NEW_CICD_BITBUCKET,bitbucket_app_password,CRITICAL,"Bitbucket App Password","bitbucket_password"
NEW_CICD_BITBUCKET,bitbucket_oauth,CRITICAL,"Bitbucket OAuth","bitbucket_oauth_token"
NEW_CICD_JENKINS,jenkins_token,CRITICAL,"Jenkins Token","jenkins_api_token"
NEW_CICD_JENKINS,jenkins_password,CRITICAL,"Jenkins Password","jenkins_admin_password"
NEW_CICD_JENKINS,jenkins_api_token,CRITICAL,"Jenkins API Token","jenkins_token"
NEW_CICD_TRAVIS,travis_token,CRITICAL,"Travis CI","travis_ci_token"
NEW_CICD_TRAVIS,travis_ci_token,CRITICAL,"Travis CI Token","travis_token"
NEW_CICD_CIRCLECI,circleci_token,CRITICAL,"CircleCI","circleci_token"
NEW_CICD_CIRCLECI,circleci_api_token,CRITICAL,"CircleCI API","circleci_api_token"
NEW_CICD_AZURE_DEVOPS,azure_devops_token,CRITICAL,"Azure DevOps","azdevops_pat"
NEW_CICD_AZURE_DEVOPS,azure_pat,CRITICAL,"Azure PAT","az_pat_token"
NEW_CICD_BAMBOO,bamboo_token,CRITICAL,"Bamboo","bamboo_api_token"
NEW_CICD_TEAMCITY,teamcity_token,CRITICAL,"TeamCity","teamcity_token"
NEW_CICD_ARGOCD,argo_cd_token,CRITICAL,"Argo CD","argocd_token"
NEW_CONTAINER_DOCKER,docker_token,CRITICAL,"Docker Token","docker_auth_token"
NEW_CONTAINER_DOCKER,docker_registry_auth,CRITICAL,"Docker Registry","docker_config.json"
NEW_CONTAINER_DOCKER,docker_config_json,CRITICAL,"Docker Config","~/.docker/config.json"
NEW_CONTAINER_DOCKER,dockerhub_password,CRITICAL,"Docker Hub","dockerhub_password"
NEW_CONTAINER_QUAY,quay_token,CRITICAL,"Quay.io","quay_robot_token"
NEW_CONTAINER_ARTIFACT,artifact_registry_key,CRITICAL,"Artifact Registry","artifact_registry_key"
NEW_CONTAINER_KUBERNETES,kubernetes_token,CRITICAL,"Kubernetes","k8s_service_account_token"
NEW_CONTAINER_KUBERNETES,kubeconfig,CRITICAL,"Kubeconfig","~/.kube/config"
NEW_CONTAINER_KUBERNETES,k8s_secret,CRITICAL,"K8s Secret","k8s_secret_data"
NEW_CONTAINER_OPENSHIFT,openshift_token,CRITICAL,"OpenShift","openshift_oauth_token"
NEW_CONTAINER_HELM,helm_secret,CRITICAL,"Helm","helm_repository_password"
NEW_CONTAINER_ISTIO,istio_token,CRITICAL,"Istio","istio_service_account"
NEW_MICROSERVICES,service_mesh,CRITICAL,"Service Mesh","service_mesh_cert"
NEW_MICROSERVICES,consul_token,CRITICAL,"Consul","consul_acl_token"
NEW_MICROSERVICES,vault_token,CRITICAL,"Vault","vault_root_token"
NEW_MICROSERVICES,zookeeper_secret,CRITICAL,"ZooKeeper","zookeeper_sasl"
NEW_MICROSERVICES,etcd_auth,CRITICAL,"etcd","etcd_root_password"
NEW_MICROSERVICES,eureka_password,CRITICAL,"Eureka","eureka_password"
NEW_MICROSERVICES,kong_admin_token,CRITICAL,"Kong","kong_admin_token"
NEW_SERVERLESS,lambda_key,CRITICAL,"AWS Lambda","lambda_function_key"
NEW_SERVERLESS,azure_function_key,CRITICAL,"Azure Functions","azure_function_key"
NEW_SERVERLESS,google_cloud_function_key,CRITICAL,"Google Cloud Functions","cloud_function_key"
NEW_SERVERLESS,openfaas_token,CRITICAL,"OpenFaaS","openfaas_gateway_token"
NEW_SERVERLESS,knative_secret,CRITICAL,"Knative","knative_service_account"
NEW_SERVERLESS,faasd_password,CRITICAL,"faasd","faasd_admin_password"
NEW_IAC,terraform_token,CRITICAL,"Terraform","terraform_cloud_token"
NEW_IAC,terraform_cloud_token,CRITICAL,"Terraform Cloud","tfc_token"
NEW_IAC,terraform_enterprise_key,CRITICAL,"Terraform Enterprise","tfe_token"
NEW_IAC,puppet_master_key,CRITICAL,"Puppet","puppet_master_key"
NEW_IAC,ansible_vault_password,CRITICAL,"Ansible Vault","ansible_vault_password"
NEW_IAC,salt_master_secret,CRITICAL,"SaltStack","salt_master_key"
NEW_IAC,chef_server_key,CRITICAL,"Chef","chef_validator_key"
NEW_IAC,cfengine_token,CRITICAL,"CFEngine","cfengine_key"
NEW_MONITORING,grafana_token,CRITICAL,"Grafana","grafana_service_account_token"
NEW_MONITORING,grafana_service_account,CRITICAL,"Grafana Service Account","grafana_sa_token"
NEW_MONITORING,prometheus_bearer_token,CRITICAL,"Prometheus","prometheus_bearer_token"
NEW_MONITORING,prometheus_remote_write,CRITICAL,"Prometheus Remote Write","prometheus_remote_write_token"
NEW_MONITORING,datadog_api_key,CRITICAL,"Datadog","datadog_api_key"
NEW_MONITORING,datadog_app_key,CRITICAL,"Datadog App","datadog_application_key"
NEW_MONITORING,datadog_application_key,CRITICAL,"Datadog Application","datadog_app_key"
NEW_MONITORING,newrelic_license_key,CRITICAL,"New Relic","newrelic_license_key"
NEW_MONITORING,newrelic_api_key,CRITICAL,"New Relic API","newrelic_api_key"
NEW_MONITORING,newrelic_insights_key,CRITICAL,"New Relic Insights","newrelic_insights_key"
NEW_MONITORING,sentry_dsn,CRITICAL,"Sentry DSN","https://key@sentry.io/project"
NEW_MONITORING,sentry_token,CRITICAL,"Sentry Token","sentry_auth_token"
NEW_MONITORING,sentry_auth_token,CRITICAL,"Sentry Auth","sentry_token"
NEW_MONITORING,elasticsearch_api_key,CRITICAL,"Elasticsearch","es_api_key"
NEW_MONITORING,kibana_password,CRITICAL,"Kibana","kibana_system_password"
NEW_MONITORING,logstash_key,CRITICAL,"Logstash","logstash_system_password"
NEW_MONITORING,loki_basic_auth,CRITICAL,"Loki","loki_basic_auth"
NEW_MONITORING,tempo_token,CRITICAL,"Tempo","tempo_api_token"
NEW_MONITORING,jaeger_token,CRITICAL,"Jaeger","jaeger_admin_token"
NEW_MONITORING,zipkin_token,CRITICAL,"Zipkin","zipkin_api_token"
NEW_MONITORING,opentelemetry_key,CRITICAL,"OpenTelemetry","otel_collector_key"
NEW_LOGGING,loggly_token,CRITICAL,"Loggly","loggly_customer_token"
NEW_LOGGING,papertrail_token,CRITICAL,"Papertrail","papertrail_api_token"
NEW_LOGGING,logz_token,CRITICAL,"Logz.io","logz_api_token"
NEW_LOGGING,logdna_key,CRITICAL,"LogDNA","logdna_ingestion_key"
NEW_LOGGING,sumologic_access_id,CRITICAL,"Sumo Logic","sumologic_access_id"
NEW_LOGGING,sumologic_access_key,CRITICAL,"Sumo Logic Key","sumologic_access_key"
NEW_LOGGING,splunk_token,CRITICAL,"Splunk","splunk_hec_token"
NEW_LOGGING,fluentd_password,CRITICAL,"Fluentd","fluentd_shared_key"
NEW_LOGGING,graylog_password,CRITICAL,"Graylog","graylog_root_password"
NEW_AI,openai_api_key,CRITICAL,"OpenAI API","sk-ExampleKey12345"
NEW_AI,chatgpt_key,CRITICAL,"ChatGPT","chatgpt_api_key"
NEW_AI,anthropic_key,CRITICAL,"Anthropic","claude_api_key"
NEW_AI,claude_api_key,CRITICAL,"Claude API","anthropic_api_key"
NEW_AI,huggingface_token,CRITICAL,"Hugging Face","hf_ExampleToken123"
NEW_AI,hf_token,CRITICAL,"HF Token","hf_token"
NEW_AI,replicate_api_key,CRITICAL,"Replicate","r8_ExampleKey123"
NEW_AI,stabilityai_key,CRITICAL,"Stability AI","stabilityai_api_key"
NEW_AI,cohere_api_key,CRITICAL,"Cohere","cohere_api_key"
NEW_AI,ai21_token,CRITICAL,"AI21","ai21_studio_api_key"
NEW_AI,vertex_ai_key,CRITICAL,"Vertex AI","vertex_ai_service_account"
NEW_AI,azure_openai_key,CRITICAL,"Azure OpenAI","azure_openai_api_key"
NEW_AI,aws_bedrock_key,CRITICAL,"AWS Bedrock","bedrock_invocation_key"
NEW_AI,groq_api_key,CRITICAL,"Groq","groqcloud_api_key"
NEW_AI,together_api_key,CRITICAL,"Together AI","together_api_key"
NEW_AI,perplexity_key,CRITICAL,"Perplexity","perplexity_api_key"
NEW_AI,mistral_api_key,CRITICAL,"Mistral AI","mistral_api_key"
NEW_AI,deepseek_key,CRITICAL,"DeepSeek","deepseek_api_key"
NEW_AI,gemini_api_key,CRITICAL,"Gemini API","gemini_api_key"
NEW_DATA_SCIENCE,jupyter_token,CRITICAL,"Jupyter","jupyter_notebook_token"
NEW_DATA_SCIENCE,jupyterhub_token,CRITICAL,"JupyterHub","jupyterhub_api_token"
NEW_DATA_SCIENCE,databricks_token,CRITICAL,"Databricks","databricks_personal_token"
NEW_DATA_SCIENCE,snowflake_password,CRITICAL,"Snowflake","snowflake_account_password"
NEW_DATA_SCIENCE,snowflake_private_key,CRITICAL,"Snowflake Private Key","-----BEGIN PRIVATE KEY-----"
NEW_DATA_SCIENCE,looker_api_key,CRITICAL,"Looker","looker_api3_secret"
NEW_DATA_SCIENCE,tableau_token,CRITICAL,"Tableau","tableau_personal_token"
NEW_DATA_SCIENCE,powerbi_secret,CRITICAL,"Power BI","powerbi_client_secret"
NEW_DATA_SCIENCE,redshift_password,CRITICAL,"Redshift","redshift_master_password"
NEW_DATA_SCIENCE,bigquery_key,CRITICAL,"BigQuery","bigquery_service_account"
NEW_DATA_SCIENCE,dataproc_key,CRITICAL,"Dataproc","dataproc_service_account"
NEW_DATA_SCIENCE,hadoop_password,CRITICAL,"Hadoop","hadoop_admin_password"
NEW_DATA_SCIENCE,spark_key,CRITICAL,"Spark","spark_master_key"
NEW_DATA_SCIENCE,kafka_password,CRITICAL,"Kafka","kafka_sasl_password"
NEW_IOT,mqtt_password,CRITICAL,"MQTT","mqtt_broker_password"
NEW_IOT,mosquitto_password,CRITICAL,"Mosquitto","mosquitto_password_file"
NEW_IOT,iot_hub_key,CRITICAL,"IoT Hub","iothub_connection_string"
NEW_IOT,edge_device_secret,CRITICAL,"Edge Device","edge_device_key"
NEW_IOT,opcua_certificate,CRITICAL,"OPC UA","opcua_application_cert"
NEW_IOT,modbus_key,CRITICAL,"Modbus","modbus_tcp_key"
NEW_IOT,bacnet_password,CRITICAL,"BACnet","bacnet_device_password"
NEW_IOT,knx_key,CRITICAL,"KNX","knx_secure_key"
NEW_IOT,lonworks_token,CRITICAL,"LonWorks","lonworks_token"
NEW_MOBILE,firebase_cloud_messaging_key,CRITICAL,"FCM","AAAAExampleKey:APA91b..."
NEW_MOBILE,apple_push_key,CRITICAL,"APNS","apns_auth_key.p8"
NEW_MOBILE,apns_key,CRITICAL,"APNS Key","apns_key_id"
NEW_MOBILE,google_play_console_key,CRITICAL,"Google Play","google_play_api_key"
NEW_MOBILE,app_store_connect_key,CRITICAL,"App Store Connect","appstoreconnect_api_key"
NEW_MOBILE,expo_token,CRITICAL,"Expo","expo_access_token"
NEW_MOBILE,react_native_config,CRITICAL,"React Native Config","react_native_secrets"
NEW_MOBILE,flutter_secret,CRITICAL,"Flutter","flutter_secrets.json"
NEW_MOBILE,android_keystore,CRITICAL,"Android Keystore","keystore_password"
NEW_MOBILE,ios_provisioning_profile,CRITICAL,"iOS Provisioning","provisioning_profile"
NEW_BLOCKCHAIN,ethereum_private_key,CRITICAL,"Ethereum Private Key","0x12345abcde"
NEW_BLOCKCHAIN,bitcoin_private_key,CRITICAL,"Bitcoin Private Key","5KJvsngHeMpm884wtkJNzQGaCErckhHJBGFsvd3VyK5qMZXj3hS"
NEW_BLOCKCHAIN,wallet_seed_phrase,CRITICAL,"Wallet Seed","word1 word2 word3 ..."
NEW_BLOCKCHAIN,metamask_secret,CRITICAL,"MetaMask","metamask_seed_phrase"
NEW_BLOCKCHAIN,infura_key,CRITICAL,"Infura","infura_project_secret"
NEW_BLOCKCHAIN,alchemy_key,CRITICAL,"Alchemy","alchemy_api_key"
NEW_BLOCKCHAIN,moralis_key,CRITICAL,"Moralis","moralis_api_key"
NEW_BLOCKCHAIN,thirdweb_secret,CRITICAL,"thirdweb","thirdweb_client_id"
NEW_BLOCKCHAIN,hardhat_account,CRITICAL,"Hardhat","hardhat_account_private_key"
NEW_BLOCKCHAIN,truffle_mnemonic,CRITICAL,"Truffle","truffle_mnemonic"
NEW_BLOCKCHAIN,ganache_mnemonic,CRITICAL,"Ganache","ganache_mnemonic"
NEW_BLOCKCHAIN,brownie_account,CRITICAL,"Brownie","brownie_account"
NEW_NFT,nft_storage_key,CRITICAL,"NFT.Storage","nft_storage_api_key"
NEW_NFT,ipfs_cluster_secret,CRITICAL,"IPFS Cluster","ipfs_cluster_secret"
NEW_NFT,pinata_key,CRITICAL,"Pinata","pinata_api_secret"
NEW_NFT,opensea_api_key,CRITICAL,"OpenSea","opensea_api_key"
